Sep=,
DAQ,Date,Time,A0,A3,B5,Humidity (SCD30),CO2 (SCD30),VOC(SGP40)
1,0-1-1,0:4:53,0.21,0.24,84,32.72,522.0,32626
1,0-1-1,0:4:56,0.21,0.24,28,32.7,523.0,32623
1,0-1-1,0:4:59,0.21,0.24,12,32.65,523.0,32631
1,0-1-1,0:5:2,0.21,0.24,74,32.63,524.0,32634
1,0-1-1,0:5:5,0.21,0.24,78,32.63,524.0,32655
1,0-1-1,0:5:8,0.21,0.24,103,32.61,525.0,32642
1,0-1-1,0:5:12,0.21,0.24,94,32.63,526.0,32639
1,0-1-1,0:5:15,0.21,0.24,59,32.69,526.0,32643
1,0-1-1,0:5:18,0.21,0.24,2,32.7,526.0,32654
1,0-1-1,0:5:21,0.21,0.24,3,32.69,527.0,32659
1,0-1-1,0:5:24,0.21,0.24,40,32.71,527.0,32658
1,0-1-1,0:5:27,0.21,0.24,105,32.72,528.0,32651
1,0-1-1,0:5:31,0.21,0.24,48,32.76,528.0,32663
1,0-1-1,0:5:34,0.21,0.24,143,32.72,529.0,32658
1,0-1-1,0:5:37,0.21,0.24,65,32.55,529.0,32647
1,0-1-1,0:5:40,0.21,0.24,44,32.52,531.0,32658
1,0-1-1,0:5:43,0.21,0.24,102,32.49,533.0,32659
1,0-1-1,0:5:46,0.21,0.24,92,32.43,534.0,32659
1,0-1-1,0:5:50,0.21,0.24,98,32.41,534.0,32650
1,0-1-1,0:5:53,0.21,0.24,101,32.37,535.0,32655
1,0-1-1,0:5:56,0.21,0.24,95,32.33,533.0,32658
1,0-1-1,0:5:59,0.21,0.24,74,32.24,534.0,32659
1,0-1-1,0:6:2,0.21,0.24,15,32.27,533.0,32667
1,0-1-1,0:6:5,0.21,0.24,89,32.26,533.0,32666
1,0-1-1,0:6:9,0.21,0.24,10,32.29,533.0,32671
1,0-1-1,0:6:12,0.21,0.24,82,32.33,534.0,32682
1,0-1-1,0:6:15,0.21,0.24,82,32.37,535.0,32687
1,0-1-1,0:6:18,0.21,0.24,85,32.31,536.0,32695
1,0-1-1,0:6:21,0.21,0.24,82,32.34,537.0,32706
1,0-1-1,0:6:24,0.21,0.24,85,32.34,536.0,32707
1,0-1-1,0:6:27,0.22,0.24,86,32.25,537.0,32726
1,0-1-1,0:6:31,0.21,0.24,78,32.24,536.0,32735
1,0-1-1,0:6:34,0.22,0.24,85,32.22,536.0,32743
1,0-1-1,0:6:37,0.21,0.24,2,32.22,537.0,32742
1,0-1-1,0:6:40,0.21,0.24,79,32.16,536.0,32727
1,0-1-1,0:6:43,0.21,0.24,8,32.11,537.0,32730
1,0-1-1,0:6:46,0.22,0.24,83,32.08,536.0,32755
1,0-1-1,0:6:50,0.21,0.24,76,32.13,536.0,32755
1,0-1-1,0:6:53,0.21,0.24,80,32.14,536.0,32754
1,0-1-1,0:6:56,0.21,0.24,80,32.11,535.0,32743
1,0-1-1,0:6:59,0.21,0.24,79,32.09,536.0,32742
1,0-1-1,0:7:2,0.21,0.24,80,32.08,536.0,32759
1,0-1-1,0:7:5,0.21,0.24,72,32.02,536.0,32771
1,0-1-1,0:7:9,0.21,0.24,84,32.03,535.0,32762
1,0-1-1,0:7:12,0.22,0.24,6,31.99,534.0,32787
1,0-1-1,0:7:15,0.22,0.24,107,31.99,535.0,32798
1,0-1-1,0:7:18,0.21,0.24,4,31.98,535.0,32799
1,0-1-1,0:7:21,0.21,0.24,75,31.92,535.0,32799
1,0-1-1,0:7:24,0.22,0.24,66,31.91,536.0,32806
1,0-1-1,0:7:28,0.21,0.24,74,31.97,536.0,32811
1,0-1-1,0:7:31,0.22,0.24,74,31.95,536.0,32806
1,0-1-1,0:7:34,0.21,0.24,82,31.99,536.0,32811
1,0-1-1,0:7:37,0.22,0.24,81,32.01,536.0,32823
1,0-1-1,0:7:40,0.21,0.24,72,32.03,536.0,32830
1,0-1-1,0:7:43,0.22,0.24,79,31.98,536.0,32835
1,0-1-1,0:7:47,0.22,0.24,4,31.93,536.0,32834
